Protein	Neighborhood
DNMT1	Nuclear
DNMT3A	Nuclear
DNMT3B	Nuclear
DNPEP	Cytosol
DNPH1	Cytosol
DNTTIP1	Nuclear
DNTTIP2	Nuclear
DOC2A	Cytosol
DOCK1	Cytosol
DOCK10	Secretory
DOCK11	Secretory
DOCK5	Cytosol
DOCK6	Secretory
DOCK7	Secretory
DOCK8	Secretory
DOCK9	Secretory
DOHH	Cytosol
DOK1	Cytosol
DOK7	Cytosol
DOLK	Unclassified
DOLPP1	Secretory
DONSON	Nuclear
DOPEY1	Cytosol
DOPEY2	Cytosol
DOT1L	Nuclear
DPAGT1	Secretory
DPCD	Cytosol
DPF1	Nuclear
DPF2	Nuclear
DPF3	Nuclear
DPH1	Cytosol
DPH2	Cytosol
DPH3	Unclassified
DPH5	Cytosol
DPH6	Cytosol
DPH7	Cytosol
DPM1	Secretory
DPM3	Secretory
DPP3	Cytosol
DPP4	Secretory
DPP7	Unclassified
DPP8	Cytosol
DPP9	Cytosol
DPY19L1	Secretory
DPY19L3	Secretory
DPY19L4	Secretory
DPY30	Nuclear
DPYD	Cytosol
DPYSL2	Cytosol
DPYSL3	Cytosol
DPYSL4	Cytosol
DPYSL5	Cytosol
DR1	Nuclear
DRAM2	Unclassified
DRAP1	Nuclear
DRG1	Cytosol
DRG2	Cytosol
DROSHA	Nuclear
DSC1	Secretory
DSC2	Unclassified
DSC3	Unclassified
DSCAM	Secretory
DSCC1	Nuclear
DSCR3	Cytosol
DSE	Secretory
DSG1	Unclassified
DSG2	Unclassified
DSN1	Nuclear
DSP	Cytosol
DST	Cytosol
DSTN	Cytosol
DSTYK	Cytosol
DTD1	Cytosol
DTD2	Cytosol
DTL	Nuclear
DTNA	Unclassified
DTNB	Unclassified
DTNBP1	Cytosol
DTWD1	Nuclear
DTWD2	Cytosol
DTX2	Unclassified
DTX3	Cytosol
DTX3L	Cytosol
DTYMK	Cytosol
DUS1L	Nuclear
DUS2	Cytosol
DUS3L	Nuclear
DUS4L	Cytosol
DUSP11	Nuclear
DUSP12	Cytosol
DUSP14	Cytosol
DUSP22	Secretory
DUSP23	Cytosol
DUSP3	Cytosol
DUSP4	Unclassified
DUSP9	Cytosol
DUT	Cytosol
DVL1	Mitochondria
DVL2	Cytosol
DVL3	Cytosol
DXO	Nuclear
DYM	Cytosol
DYNC1H1	Cytosol
DYNC1I2	Cytosol
DYNC1LI1	Cytosol
DYNC1LI2	Cytosol
DYNC2H1	Cytosol
DYNC2LI1	Cytosol
DYNLL1	Cytosol
DYNLL2	Cytosol
DYNLRB1	Cytosol
DYNLT1	Cytosol
DYNLT3	Cytosol
DYRK1A	Cytosol
DYRK1B	Cytosol
DYRK2	Nuclear
DZANK1	Cytosol
DZIP3	Secretory
E2F1	Nuclear
E2F2	Nuclear
E2F3	Nuclear
E2F4	Cytosol
E2F5	Cytosol
E2F6	Nuclear
E2F7	Unclassified
E2F8	Nuclear
E4F1	Cytosol
EAF1	Nuclear
EAPP	Nuclear
EARS2	Mitochondria
EBAG9	Secretory
EBNA1BP2	Nuclear
EBP	Secretory
ECD	Cytosol
ECE1	Secretory
ECE2	Cytosol
ECH1	Mitochondria
ECHDC1	Unclassified
ECHDC2	Nuclear
ECHDC3	Unclassified
ECHS1	Mitochondria
ECI1	Mitochondria
ECI2	Unclassified
ECM1	Cytosol
ECSIT	Mitochondria
ECT2	Secretory
EDA	Cytosol
EDARADD	Cytosol
EDC3	Cytosol
EDC4	Cytosol
EDEM1	Secretory
EDEM2	Secretory
EDEM3	Secretory
EDF1	Cytosol
EDRF1	Cytosol
EEA1	Nuclear
EED	Nuclear
EEF1A1	Cytosol
EEF1A2	Cytosol
EEF1B2	Cytosol
EEF1D	Cytosol
EEF1E1	Unclassified
EEF1G	Cytosol
EEF2	Cytosol
EEF2K	Cytosol
EEFSEC	Cytosol
EEPD1	Mitochondria
EFCAB11	Unclassified
EFCAB14	Secretory
EFCAB2	Cytosol
EFCAB4A	Secretory
EFCAB4B	Secretory
EFCAB6	Nuclear
EFCAB7	Nuclear
EFEMP1	Unclassified
EFHD1	Secretory
EFHD2	Cytosol
EFNA1	Secretory
EFNA3	Secretory
EFNA4	Secretory
EFNA5	Secretory
EFNB1	Secretory
EFNB2	Secretory
EFNB3	Secretory
EFR3A	Secretory
EFR3B	Secretory
EFTUD1	Cytosol
EFTUD2	Nuclear
EGFL7	Secretory
EGFR	Secretory
EGLN1	Cytosol
EHBP1	Cytosol
EHBP1L1	Unclassified
EHD1	Cytosol
EHD2	Cytosol
EHD3	Cytosol
EHD4	Cytosol
EHHADH	Secretory
EHMT1	Nuclear
EHMT2	Nuclear
EI24	Secretory
EID1	Cytosol
EID2	Cytosol
EIF1	Cytosol
EIF1AD	Cytosol
EIF1AX	Unclassified
EIF1B	Unclassified
EIF2A	Cytosol
EIF2AK1	Cytosol
EIF2AK2	Nuclear
EIF2AK3	Secretory
EIF2AK4	Cytosol
EIF2B1	Cytosol
EIF2B2	Cytosol
EIF2B3	Cytosol
EIF2B4	Cytosol
EIF2B5	Cytosol
EIF2D	Cytosol
EIF2S1	Cytosol
EIF2S2	Cytosol
EIF2S3	Cytosol
EIF3A	Nuclear
EIF3B	Cytosol
EIF3C	Nuclear
EIF3D	Cytosol
EIF3E	Cytosol
EIF3F	Nuclear
EIF3G	Cytosol
EIF3H	Cytosol
EIF3I	Cytosol
EIF3J	Cytosol
EIF3K	Cytosol
EIF3L	Nuclear
EIF3M	Cytosol
EIF4A1	Cytosol
EIF4A2	Cytosol
EIF4A3	Nuclear
EIF4B	Cytosol
EIF4E	Cytosol
EIF4E2	Cytosol
EIF4E3	Unclassified
EIF4EBP1	Cytosol
EIF4EBP2	Cytosol
EIF4ENIF1	Unclassified
EIF4G1	Cytosol
EIF4G2	Cytosol
EIF4G3	Cytosol
EIF4H	Cytosol
EIF5	Cytosol
EIF5A	Cytosol
EIF5A2	Cytosol
EIF5B	Cytosol
EIF6	Cytosol
ELAC1	Cytosol
ELAC2	Nuclear
ELAVL1	Nuclear
ELF1	Nuclear
ELF2	Nuclear
ELF3	Nuclear
ELF4	Unclassified
ELFN1	Secretory
ELFN2	Secretory
ELK1	Nuclear
ELK4	Nuclear
ELL	Nuclear
ELL2	Nuclear
ELL3	Nuclear
ELMO1	Unclassified
ELMO2	Cytosol
ELMO3	Cytosol
ELMOD2	Secretory
ELMOD3	Cytosol
ELMSAN1	Nuclear
ELOF1	Nuclear
ELOVL1	Secretory
ELOVL2	Secretory
ELOVL3	Nuclear
ELOVL5	Secretory
ELOVL6	Secretory
ELOVL7	Unclassified
ELP2	Cytosol
ELP3	Cytosol
ELP4	Cytosol
ELP6	Cytosol
EMB	Secretory
EMC1	Secretory
EMC10	Secretory
EMC2	Secretory
EMC3	Secretory
EMC4	Secretory
EMC6	Secretory
EMC7	Secretory
EMC8	Secretory
EMC9	Unclassified
EMD	Secretory
EME1	Nuclear
EME2	Secretory
EML1	Cytosol
EML2	Cytosol
EML3	Cytosol
EML4	Cytosol
EMP2	Secretory
EMR2	Secretory
EN2	Nuclear
ENAH	Cytosol
ENDOD1	Secretory
ENDOG	Nuclear
ENDOV	Cytosol
ENGASE	Nuclear
ENKD1	Secretory
ENO1	Cytosol
ENO2	Cytosol
ENO3	Cytosol
ENOPH1	Cytosol
ENOSF1	Cytosol
ENOX2	Nuclear
ENPP1	Secretory
ENPP4	Secretory
ENPP5	Secretory
ENSA	Cytosol
ENTHD2	Cytosol
ENTPD2	Secretory
ENTPD3	Secretory
ENTPD4	Secretory
ENTPD5	Secretory
ENTPD6	Secretory
ENTPD7	Secretory
ENTPD8	Secretory
ENY2	Cytosol
EOGT	Secretory
EP300	Nuclear
EP400	Nuclear
EP400NL	Unclassified
EPB41	Mitochondria
EPB41L1	Unclassified
EPB41L2	Mitochondria
EPB41L4A	Secretory
EPB41L4B	Secretory
EPB41L5	Secretory
EPC1	Nuclear
EPC2	Nuclear
EPCAM	Secretory
EPDR1	Secretory
EPG5	Cytosol
EPHA1	Secretory
EPHA2	Secretory
EPHA3	Secretory
EPHA4	Secretory
EPHA6	Secretory
EPHA7	Secretory
EPHB2	Secretory
EPHB3	Secretory
EPHB4	Secretory
EPHX1	Secretory
EPHX2	Cytosol
EPHX4	Secretory
EPM2A	Cytosol
EPM2AIP1	Unclassified
EPN1	Cytosol
EPN2	Mitochondria
EPN3	Mitochondria
EPPK1	Cytosol
EPRS	Cytosol
EPS15	Cytosol
EPS15L1	Cytosol
EPS8	Cytosol
EPS8L1	Cytosol
EPS8L2	Cytosol
EPT1	Secretory
ERAL1	Mitochondria
ERAP1	Unclassified
ERBB2	Secretory
ERBB2IP	Unclassified
ERBB3	Secretory
ERBB4	Secretory
ERC1	Cytosol
ERCC1	Nuclear
ERCC2	Nuclear
ERCC3	Nuclear
ERCC4	Nuclear
ERCC5	Nuclear
ERCC6	Nuclear
ERCC6L	Cytosol
ERCC6L2	Cytosol
ERCC8	Cytosol
ERF	Cytosol
ERGIC1	Secretory
ERGIC2	Secretory
ERGIC3	Secretory
ERH	Nuclear
ERI1	Nuclear
ERI2	Nuclear
ERI3	Cytosol
ERICH1	Nuclear
ERLEC1	Secretory
ERLIN1	Secretory
ERLIN2	Secretory
ERMAP	Secretory
ERMP1	Secretory
ERN1	Secretory
ERO1L	Unclassified
ERO1LB	Secretory
ERP29	Nuclear
ERP44	Secretory
ERRFI1	Cytosol
ERV3-1	Secretory
ERVMER34-1	Secretory
ESAM	Secretory
ESCO1	Nuclear
ESCO2	Nuclear
ESD	Cytosol
ESF1	Nuclear
ESPL1	Cytosol
ESPN	Cytosol
ESR1	Unclassified
ESRP1	Cytosol
ESRP2	Nuclear
ESRRA	Nuclear
ESYT1	Secretory
ESYT2	Secretory
ESYT3	Unclassified
ETAA1	Unclassified
ETF1	Cytosol
ETFA	Mitochondria
ETFB	Nuclear
ETFDH	Mitochondria
ETHE1	Unclassified
ETNK1	Cytosol
ETS2	Cytosol
ETV3	Unclassified
ETV6	Nuclear
EVA1B	Secretory
EVI5	Cytosol
EVI5L	Cytosol
EVL	Cytosol
EVPL	Cytosol
EWSR1	Nuclear
EXD2	Mitochondria
EXO1	Unclassified
EXOC1	Cytosol
EXOC2	Cytosol
EXOC3	Cytosol
EXOC4	Cytosol
EXOC5	Cytosol
EXOC6	Cytosol
EXOC6B	Cytosol
EXOC7	Cytosol
EXOC8	Cytosol
EXOG	Mitochondria
EXOSC1	Nuclear
EXOSC10	Nuclear
EXOSC2	Nuclear
EXOSC3	Nuclear
EXOSC4	Nuclear
EXOSC5	Nuclear
EXOSC6	Nuclear
EXOSC7	Nuclear
EXOSC8	Nuclear
EXOSC9	Nuclear
EXPH5	Unclassified
EXT1	Secretory
EXT2	Secretory
EXTL2	Secretory
EXTL3	Secretory
EYA2	Cytosol
EYA3	Nuclear
EZH1	Nuclear
EZH2	Nuclear
EZR	Cytosol
F10	Unclassified
F11R	Secretory
F13A1	Secretory
F13B	Unclassified
F2	Unclassified
F2RL1	Secretory
F3	Secretory
F5	Secretory
F9	Unclassified
FA2H	Unclassified
FAAH	Secretory
FAAH2	Unclassified
FABP5	Cytosol
FABP6	Cytosol
FADD	Cytosol
FADS1	Secretory
FADS3	Secretory
FAF1	Cytosol
FAF2	Secretory
FAH	Cytosol
FAHD1	Unclassified
FAHD2A	Cytosol
FAHD2B	Unclassified
FAIM	Cytosol
FAM102A	Cytosol
FAM102B	Cytosol
FAM103A1	Nuclear
FAM104A	Unclassified
FAM105A	Secretory
FAM105B	Cytosol
FAM107B	Cytosol
FAM109A	Cytosol
FAM109B	Cytosol
FAM110A	Cytosol
FAM110B	Cytosol
FAM110C	Unclassified
FAM111A	Nuclear
FAM111B	Nuclear
FAM114A1	Cytosol
FAM114A2	Cytosol
FAM115A	Cytosol
FAM115C	Cytosol
FAM117A	Cytosol
FAM117B	Cytosol
FAM118A	Unclassified
FAM118B	Unclassified
FAM120A	Nuclear
FAM120B	Cytosol
FAM120C	Nuclear
FAM122A	Nuclear
FAM122B	Nuclear
FAM126A	Secretory
FAM126B	Secretory
FAM129A	Cytosol
FAM129B	Cytosol
FAM133B	Unclassified
FAM134A	Secretory
FAM134B	Secretory
FAM134C	Secretory
FAM135A	Unclassified
FAM136A	Nuclear
FAM13B	Cytosol
FAM155B	Secretory
FAM160A1	Cytosol
FAM160A2	Cytosol
FAM160B1	Cytosol
FAM160B2	Cytosol
FAM161A	Secretory
FAM161B	Nuclear
FAM162A	Mitochondria
FAM168A	Cytosol
FAM169A	Nuclear
FAM171A2	Secretory
FAM171B	Secretory
FAM172A	Nuclear
FAM173A	Mitochondria
FAM173B	Mitochondria
FAM174A	Secretory
FAM174B	Secretory
FAM175A	Nuclear
FAM175B	Cytosol
FAM177A1	Secretory
FAM178A	Nuclear
FAM179B	Cytosol
FAM185A	Mitochondria
FAM188A	Cytosol
FAM188B	Cytosol
FAM189A2	Secretory
FAM189B	Nuclear
FAM192A	Nuclear
FAM193A	Nuclear
FAM193B	Secretory
FAM195A	Cytosol
FAM195B	Cytosol
FAM198B	Secretory
FAM199X	Nuclear
FAM200A	Cytosol
FAM204A	Nuclear
FAM206A	Nuclear
FAM207A	Nuclear
FAM208A	Nuclear
FAM208B	Nuclear
FAM20B	Secretory
FAM20C	Secretory
FAM210A	Mitochondria
FAM210B	Unclassified
FAM211A	Secretory
FAM213A	Secretory
FAM213B	Cytosol
FAM214A	Cytosol
FAM219A	Secretory
FAM219B	Secretory
FAM21A	Cytosol
FAM21B	Cytosol
FAM21C	Cytosol
FAM221A	Cytosol
FAM222B	Cytosol
FAM32A	Nuclear
FAM35A	Unclassified
FAM3C	Secretory
FAM45A	Cytosol
FAM46A	Unclassified
FAM47E-STBD1	Secretory
FAM49B	Cytosol
FAM50A	Nuclear
FAM50B	Nuclear
FAM53B	Cytosol
FAM53C	Cytosol
FAM57A	Secretory
FAM60A	Nuclear
FAM63A	Cytosol
FAM63B	Cytosol
FAM64A	Unclassified
FAM65A	Cytosol
FAM69A	Secretory
FAM73A	Mitochondria
FAM73B	Mitochondria
FAM76A	Nuclear
FAM76B	Nuclear
FAM83B	Unclassified
FAM83D	Cytosol
FAM83F	Secretory
FAM83G	Secretory
FAM83H	Mitochondria
FAM84A	Cytosol
FAM84B	Cytosol
FAM86A	Cytosol
FAM89B	Cytosol
FAM8A1	Secretory
FAM91A1	Cytosol
FAM92A1	Cytosol
FAM96A	Cytosol
FAM96B	Cytosol
FAM98A	Nuclear
FAM98B	Nuclear
FAM98C	Cytosol
FAN1	Unclassified
FANCA	Cytosol
FANCB	Nuclear
FANCC	Unclassified
FANCD2	Nuclear
FANCE	Unclassified
FANCF	Unclassified
FANCG	Cytosol
FANCI	Nuclear
FANCL	Nuclear
FANCM	Secretory
FAR1	Secretory
FARP1	Secretory
FARP2	Unclassified
FARS2	Mitochondria
FARSA	Nuclear
FARSB	Unclassified
FAS	Secretory
FASN	Cytosol
FASTK	Secretory
FASTKD1	Mitochondria
FASTKD2	Mitochondria
FASTKD3	Secretory
FASTKD5	Mitochondria
FAT1	Secretory
FAT3	Unclassified
FAT4	Secretory
FAU	Unclassified
FAXC	Unclassified
FBF1	Unclassified
FBL	Nuclear
FBLIM1	Cytosol
FBLL1	Nuclear
FBLN1	Cytosol
FBN1	Unclassified
FBN2	Unclassified
FBP1	Cytosol
FBP2	Cytosol
FBRS	Nuclear
FBRSL1	Cytosol
FBXL12	Unclassified
FBXL14	Nuclear
FBXL15	Cytosol
FBXL16	Cytosol
FBXL17	Nuclear
FBXL18	Cytosol
FBXL19	Nuclear
FBXL20	Secretory
FBXL3	Cytosol
FBXL4	Mitochondria
FBXL6	Nuclear
FBXL8	Cytosol
FBXO11	Nuclear
FBXO17	Cytosol
FBXO18	Nuclear
FBXO2	Cytosol
FBXO21	Cytosol
FBXO22	Nuclear
FBXO25	Nuclear
FBXO27	Secretory
FBXO28	Nuclear
FBXO3	Cytosol
FBXO30	Cytosol
FBXO31	Cytosol
FBXO33	Nuclear
FBXO34	Secretory
FBXO38	Nuclear
FBXO4	Cytosol
FBXO42	Cytosol
FBXO43	Cytosol
FBXO44	Cytosol
FBXO45	Cytosol
FBXO46	Nuclear
FBXO5	Cytosol
FBXO6	Cytosol
FBXO7	Cytosol
FBXO9	Cytosol
FBXW11	Cytosol
FBXW2	Cytosol
FBXW4	Unclassified
FBXW5	Cytosol
FBXW7	Unclassified
FBXW8	Cytosol
FBXW9	Cytosol
FCF1	Nuclear
FCHO1	Cytosol
FCHO2	Cytosol
FCHSD1	Cytosol
FCHSD2	Cytosol
FCN3	Cytosol
FDFT1	Secretory
FDPS	Cytosol
FDX1	Nuclear
FDX1L	Nuclear
FDXR	Mitochondria
FECH	Mitochondria
FEM1A	Cytosol
FEM1B	Cytosol
FEM1C	Cytosol
FEN1	Nuclear
FER	Cytosol
FERMT1	Cytosol
FERMT2	Cytosol
FERMT3	Nuclear
FETUB	Cytosol
FEZ2	Cytosol
FGA	Unclassified
FGB	Unclassified
FGD3	Cytosol
FGD4	Cytosol
FGD6	Cytosol
FGF13	Cytosol
FGFR1	Secretory
FGFR1OP	Cytosol
FGFR1OP2	Unclassified
FGFR2	Secretory
FGFR3	Secretory
FGFR4	Secretory
FGFRL1	Secretory
FGG	Unclassified
FGGY	Cytosol
FH	Mitochondria
FHAD1	Cytosol
FHDC1	Secretory
FHIT	Cytosol
FHL1	Cytosol
FHL2	Cytosol
FHL3	Cytosol
FHOD1	Cytosol
FIBCD1	Secretory
FIBP	Cytosol
FICD	Secretory
FIG4	Cytosol
FIGN	Secretory
FIGNL1	Unclassified
FILIP1	Nuclear
FILIP1L	Cytosol
FIP1L1	Nuclear
FIS1	Mitochondria
FITM2	Secretory
FIZ1	Nuclear
FKBP10	Secretory
FKBP11	Secretory
FKBP14	Nuclear
FKBP15	Cytosol
FKBP1A	Cytosol
FKBP2	Nuclear
FKBP3	Cytosol
FKBP4	Cytosol
FKBP5	Nuclear
FKBP7	Nuclear
FKBP8	Secretory
FKBP9	Unclassified
FKBPL	Cytosol
FKRP	Secretory
FKTN	Secretory
FLAD1	Cytosol
FLCN	Cytosol
FLG	Unclassified
FLG2	Unclassified
FLII	Cytosol
FLNA	Cytosol
FLNB	Cytosol
FLNC	Cytosol
FLOT1	Secretory
FLOT2	Secretory
FLRT1	Secretory
FLRT3	Secretory
FLT1	Secretory
FLVCR1	Secretory
FLVCR2	Secretory
FLYWCH1	Nuclear
FLYWCH2	Unclassified
FMN1	Cytosol
FMNL1	Secretory
FMNL2	Secretory
FMNL3	Unclassified
FMO4	Mitochondria
FMR1	Nuclear
FN1	Secretory
FN3K	Cytosol
FN3KRP	Cytosol
FNBP1	Cytosol
FNBP1L	Cytosol
FNBP4	Nuclear
FNDC3A	Secretory
FNDC3B	Secretory
FNIP1	Cytosol
FNTA	Cytosol
FNTB	Unclassified
FOCAD	Cytosol
FOPNL	Cytosol
FOS	Nuclear
FOSB	Nuclear
FOSL1	Cytosol
FOSL2	Nuclear
FOXA1	Nuclear
FOXC1	Nuclear
FOXJ2	Nuclear
FOXJ3	Nuclear
FOXK1	Nuclear
FOXK2	Nuclear
FOXM1	Nuclear
FOXN2	Nuclear
FOXN3	Unclassified
FOXO1	Cytosol
FOXO3	Cytosol
FOXO6	Unclassified
FOXP1	Nuclear
FOXP4	Nuclear
FOXRED1	Mitochondria
FOXRED2	Secretory
FPGS	Unclassified
FPGT	Cytosol
FRA10AC1	Nuclear
FRAS1	Secretory
FREM2	Secretory
FRG1	Nuclear
FRK	Secretory
FRMD3	Secretory
FRMD4A	Cytosol
FRMD5	Secretory
FRMD6	Mitochondria
FRMD8	Secretory
FRRS1	Secretory
FRS2	Secretory
FRYL	Cytosol
FSCN1	Cytosol
FSD1	Cytosol
FSD1L	Cytosol
FSTL3	Unclassified
FSTL4	Cytosol
FTH1	Nuclear
FTL	Unclassified
FTO	Nuclear
FTSJ1	Cytosol
FTSJ2	Mitochondria
FTSJ3	Nuclear
FUBP1	Nuclear
FUBP3	Nuclear
FUCA1	Unclassified
FUCA2	Unclassified
FUK	Cytosol
FUNDC1	Unclassified
FUNDC2	Mitochondria
FURIN	Secretory
FUS	Nuclear
FUT1	Secretory
FUT11	Secretory
FUT8	Secretory
FUT9	Secretory
FUZ	Unclassified
FXN	Mitochondria
FXR1	Nuclear
FXR2	Nuclear
FXYD3	Unclassified
FYCO1	Cytosol
FYN	Secretory
FYTTD1	Nuclear
FZD1	Secretory
FZD2	Secretory
FZD3	Secretory
FZD4	Secretory
FZD5	Secretory
FZD6	Secretory
FZD7	Secretory
FZD8	Secretory
FZR1	Nuclear
G2E3	Unclassified
G3BP1	Nuclear
G3BP2	Nuclear
G6PC3	Secretory
G6PD	Cytosol
GAA	Nuclear
GAB1	Cytosol
GAB2	Cytosol
GABARAP	Cytosol
GABARAPL1	Cytosol
GABARAPL2	Cytosol
GABBR2	Cytosol
GABPA	Nuclear
GABPB1	Nuclear
GABPB2	Nuclear
GABRB1	Nuclear
GADD45B	Unclassified
GADD45GIP1	Secretory
GAK	Cytosol
GAL	Secretory
GALC	Secretory
GALE	Cytosol
GALK1	Cytosol
GALK2	Cytosol
GALM	Cytosol
GALNS	Nuclear
GALNT1	Secretory
GALNT10	Secretory
GALNT11	Secretory
GALNT12	Secretory
GALNT14	Secretory
GALNT16	Secretory
GALNT18	Secretory
GALNT2	Secretory
GALNT3	Secretory
GALNT5	Unclassified
GALNT6	Secretory
GALNT7	Secretory
GALT	Cytosol
GAMT	Cytosol
GAN	Cytosol
GANAB	Unclassified
GAPDH	Cytosol
GAPVD1	Cytosol
GAR1	Nuclear
GAREM	Cytosol
GARS	Cytosol
GART	Cytosol
GAS2L1	Cytosol
GAS2L3	Secretory
GAS6	Cytosol
GAS8	Nuclear
GATA2	Nuclear
GATA3	Nuclear
GATA6	Nuclear
GATAD1	Nuclear
GATAD2A	Nuclear
GATAD2B	Nuclear
GATM	Unclassified
GBA	Secretory
GBA2	Secretory
GBAS	Mitochondria
GBE1	Cytosol
GBF1	Cytosol
GBP2	Cytosol
GBP5	Secretory
GBP6	Cytosol
GC	Cytosol
GCA	Cytosol
GCAT	Mitochondria
GCC1	Nuclear
GCC2	Secretory
GCDH	Mitochondria
GCFC2	Cytosol
GCLC	Cytosol
GCLM	Cytosol
GCN1L1	Cytosol
GCNT1	Secretory
GCSH	Mitochondria
GDAP1	Mitochondria
GDAP2	Secretory
GDE1	Secretory
GDF15	Unclassified
GDI1	Cytosol
GDI2	Cytosol
GDPD1	Secretory
GDPD3	Secretory
GDPGP1	Cytosol
GEM	Cytosol
GEMIN2	Nuclear
GEMIN4	Unclassified
GEMIN5	Cytosol
GEMIN6	Nuclear
GEMIN7	Unclassified
GEMIN8	Nuclear
GEN1	Unclassified
GET4	Cytosol
GFER	Cytosol
GFM1	Mitochondria
GFM2	Mitochondria
GFOD1	Cytosol
GFOD2	Cytosol
GFPT1	Cytosol
GFPT2	Cytosol
GFRA1	Secretory
GFRA2	Secretory
GFRA3	Unclassified
GGA1	Cytosol
GGA2	Cytosol
GGA3	Cytosol
GGACT	Cytosol
GGCT	Cytosol
GGCX	Secretory
GGH	Unclassified
GGNBP2	Nuclear
GGPS1	Cytosol
GGT7	Secretory
GHDC	Secretory
GHITM	Mitochondria
GID4	Cytosol
GID8	Cytosol
GIGYF1	Cytosol
GIGYF2	Nuclear
GIN1	Nuclear
GINM1	Secretory
GINS1	Nuclear
GINS2	Nuclear
GINS3	Nuclear
GINS4	Nuclear
GIPC1	Cytosol
GIPC2	Unclassified
GIPC3	Cytosol
GIT1	Cytosol
GIT2	Cytosol
GJB3	Secretory
GK	Unclassified
GK5	Secretory
GKAP1	Nuclear
GLA	Nuclear
GLB1	Unclassified
GLB1L	Unclassified
GLB1L2	Secretory
GLCCI1	Cytosol
GLCE	Secretory
GLE1	Nuclear
GLG1	Secretory
GLI3	Cytosol
GLI4	Nuclear
GLIPR2	Secretory
GLIS2	Unclassified
GLMN	Cytosol
GLO1	Cytosol
GLOD4	Cytosol
GLOD5	Unclassified
GLRX	Cytosol
GLRX2	Unclassified
GLRX3	Cytosol
GLRX5	Unclassified
GLS	Mitochondria
GLS2	Mitochondria
GLT8D1	Secretory
GLTP	Cytosol
GLTPD1	Cytosol
GLTSCR1	Nuclear
GLTSCR1L	Nuclear
GLTSCR2	Nuclear
GLUD1	Mitochondria
GLUD2	Unclassified
GLUL	Cytosol
GLYR1	Nuclear
GM2A	Secretory
GMCL1	Nuclear
GMDS	Cytosol
GMEB1	Nuclear
GMEB2	Nuclear
GMFB	Cytosol
GMFG	Cytosol
GMIP	Cytosol
GMNN	Nuclear
GMPPA	Cytosol
GMPPB	Cytosol
GMPR	Cytosol
GMPR2	Cytosol
GMPS	Nuclear
GNA11	Secretory
GNA12	Secretory
GNA13	Secretory
GNA14	Secretory
GNAI1	Secretory
GNAI2	Secretory
GNAI3	Secretory
GNAO1	Secretory
GNAQ	Secretory
GNAS	Secretory
GNAZ	Secretory
GNB1	Secretory
GNB1L	Cytosol
GNB2	Secretory
GNB2L1	Unclassified
GNB4	Secretory
GNB5	Cytosol
GNE	Cytosol
GNG10	Secretory
GNG12	Secretory
GNG13	Secretory
GNG4	Secretory
GNG5	Secretory
GNG7	Secretory
GNL1	Cytosol
GNL2	Nuclear
GNL3	Nuclear
GNL3L	Secretory
GNPAT	Secretory
GNPDA1	Cytosol
GNPDA2	Cytosol
GNPNAT1	Cytosol
GNPTAB	Secretory
GNPTG	Secretory
GNS	Nuclear
GOLGA1	Secretory
GOLGA2	Secretory
GOLGA3	Cytosol
GOLGA4	Nuclear
GOLGA5	Secretory
GOLGA7	Secretory
GOLGA7B	Secretory
GOLGB1	Secretory
GOLIM4	Secretory
GOLM1	Secretory
GOLPH3	Secretory
GOLPH3L	Cytosol
GOLT1B	Secretory
GON4L	Nuclear
GOPC	Cytosol
GORAB	Nuclear
GORASP1	Secretory
GORASP2	Secretory
GOSR1	Secretory
GOSR2	Unclassified
GOT1	Cytosol
GOT2	Unclassified
GPA33	Unclassified
GPAA1	Secretory
GPALPP1	Nuclear
GPAM	Mitochondria
GPANK1	Nuclear
GPATCH1	Nuclear
GPATCH11	Nuclear
GPATCH2	Cytosol
GPATCH2L	Unclassified
GPATCH3	Unclassified
GPATCH4	Nuclear
GPATCH8	Nuclear
GPBP1	Nuclear
GPBP1L1	Unclassified
GPC1	Secretory
GPC4	Secretory
GPC6	Secretory
GPCPD1	Cytosol
GPD1L	Cytosol
GPD2	Mitochondria
GPER1	Secretory
GPHN	Cytosol
GPI	Cytosol
GPKOW	Nuclear
GPLD1	Secretory
GPN1	Cytosol
GPN2	Cytosol
GPN3	Cytosol
GPNMB	Unclassified
GPR107	Secretory
GPR108	Secretory
GPR115	Secretory
GPR125	Secretory
GPR126	Secretory
GPR137B	Cytosol
GPR143	Secretory
GPR155	Unclassified
GPR176	Unclassified
GPR180	Secretory
GPR19	Secretory
GPR37	Secretory
GPR39	Secretory
GPR56	Secretory
GPR64	Cytosol
GPR68	Secretory
GPR98	Secretory
GPRASP2	Cytosol
GPRC5A	Secretory
GPRC5B	Secretory
GPRC5C	Secretory
GPRIN1	Unclassified
GPRIN3	Unclassified
GPS1	Cytosol
GPS2	Nuclear
GPSM1	Cytosol
GPSM2	Cytosol
GPT2	Mitochondria
GPX4	Cytosol
GPX8	Secretory
GRAMD1A	Secretory
GRAMD3	Secretory
GRAMD4	Secretory
GRB10	Cytosol
GRB14	Cytosol
GRB2	Cytosol
GRB7	Cytosol
GREB1	Cytosol
GREB1L	Nuclear
GRHL1	Nuclear
GRHL2	Nuclear
GRHL3	Nuclear
GRHPR	Cytosol
GRIP1	Cytosol
GRIPAP1	Cytosol
GRK6	Secretory
GRM4	Mitochondria
